Start Date,00:00:00,00:30:00,01:00:00,01:30:00,02:00:00,02:30:00,03:00:00,03:30:00,04:00:00,04:30:00,05:00:00,05:30:00,06:00:00,06:30:00,07:00:00,07:30:00,08:00:00,08:30:00,09:00:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,16:00:00,16:30:00,17:00:00,17:30:00,18:00:00,18:30:00,19:00:00,19:30:00,20:00:00,20:30:00,21:00:00,21:30:00,22:00:00,22:30:00,23:00:00,23:30:00
28-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01872,4.8906,19.80108,62.01,95.09292,125.90136,149.36688,175.53276,210.45024,217.73232,227.68668,230.93928,210.12264,186.73668,131.00256,119.76588,126.77184,101.76192,67.88808,34.03764,17.44236,5.1948,0.17784,0,0,0,0,0,0,0,0,0,0,0,0
01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19656,8.83116,27.05976,67.44816,88.83108,109.7928,141.28452,161.16048,180.47016,208.06344,209.60316,211.93848,207.67032,193.26528,192.17016,160.4772,153.28872,124.03404,91.02132,66.5028,29.718,9.7344,0.41184,0,0,0,0,0,0,0,0,0,0,0,0
02-03,0,0.00936,0,0,0,0,0,0,0,0,0,0,0,0.15444,7.6752,22.5576,70.63524,95.57444,132.46636,156.05928,178.64496,184.93956,202.6674,212.77152,228.08916,217.82124,219.1878,167.31936,171.40032,135.49536,137.6856,79.92036,51.40044,28.53864,7.59096,0.45396,0,0,0,0,0,0,0,0,0,0,0,0
03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18404,12.81384,36.81756,69.94728,89.1306,105.33276,124.45524,144.7758,155.03904,155.5866,149.7834,141.13476,125.94348,121.07628,157.68324,145.94112,126.15408,100.6434,73.008,56.39868,24.88824,8.40996,0.39312,0,0,0,0,0,0,0,0,0,0,0,0
04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65052,8.95752,24.5934,71.253,109.2546,152.48376,183.67128,189.58212,198.5958,219.94128,239.23224,209.25684,200.68776,188.56188,187.9956,184.82724,130.64688,101.19564,101.03184,68.38416,22.1832,11.23668,0.84708,0,0,0,0,0,0,0,0,0,0,0,0
05-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65052,11.11968,25.44516,45.92952,70.39656,97.90092,130.37544,150.63516,177.59664,212.25672,250.27704,257.20344,255.89772,235.28232,225.75384,220.23144,171.84492,135.24732,115.47432,85.08708,39.58344,15.16788,1.71756,0,0,0,0,0,0,0,0,0,0,0,0
06-03,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29064,15.11536,41.42632,86.64864,118.9604,160.20368,183.64944,207.78368,241.29144,259.4384,261.2792,250.99464,265.92072,254.86552,210.60416,155.02344,195.51064,166.40624,101.35632,54.704,40.33848,17.02064,1.65984,0,0,0,0,0,0,0,0,0,0,0,0
07-03,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,12.25224,34.1172,62.76816,95.64984,124.35696,151.7256,192.0906,231.34176,249.9588,237.52872,256.84308,213.61392,166.24764,185.86152,153.86436,135.71064,119.68164,88.04484,64.02708,47.01996,22.62312,3.59424,0,0,0,0,0,0,0,0,0,0,0,0
08-03,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56932,16.9416,40.75344,75.7224,126.11196,153.40572,173.56716,186.72264,211.33944,216.66996,223.76484,228.44952,234.68328,266.76468,237.71124,216.24408,187.23276,146.59632,103.25952,74.76768,39.01716,18.13968,2.41488,0,0,0,0,0,0,0,0,0,0,0,0
09-03,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39148,18.30348,45.11988,88.62516,128.82168,179.10828,211.49856,218.05524,262.41228,279.23688,270.34488,249.13512,209.1258,203.22432,160.13088,143.82576,143.2314,138.61224,94.90104,57.57804,28.50588,14.09148,1.86732,0,0,0,0,0,0,0,0,0,0,0,0
10-03,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9656,13.20228,32.47452,41.87196,66.339,110.2842,128.80764,138.93048,141.14412,118.41336,133.86204,118.68012,135.16776,176.8806,160.3134,121.74552,91.34424,79.26048,60.723,31.46832,16.99308,9.56124,1.32444,0.01404,0,0,0,0,0,0,0,0,0,0,0
11-03,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14496,27.26568,45.05436,66.08628,122.90148,169.45344,192.72708,181.35468,180.03024,202.50828,191.49624,193.53204,184.95828,164.60496,143.17056,161.63316,109.161,81.93744,73.4994,39.09672,30.12984,12.45816,2.07324,0.00936,0,0,0,0,0,0,0,0,0,0,0
12-03,0,0,0,0,0,0,0,0,0,0,0,0,0.0104,4.09032,18.25096,41.2464,63.0136,96.23848,121.33264,140.23048,163.00752,194.0692,198.93224,197.99832,196.78464,209.69208,207.11184,217.1,225.7996,155.72544,142.92512,142.39368,90.59856,35.36728,18.356,3.3436,0.07696,0,0,0,0,0,0,0,0,0,0,0
13-03,0,0,0,0,0,0,0,0,0,0,0,0,0.02808,5.24576,22.47544,38.376,72.05744,109.74184,129.94696,138.44792,166.92624,162.69552,196.10448,225.97328,191.3808,188.70904,197.95256,129.30528,161.14696,194.97608,99.95336,78.1144,78.442,54.9276,27.95104,6.44904,0.09568,0,0,0,0,0,0,0,0,0,0,0
14-03,0,0,0,0,0,0,0,0,0,0,0,0,0.08944,7.23632,31.02528,64.5476,124.48904,145.02072,161.564,188.6612,224.65352,223.756,210.30464,245.0292,244.33032,237.99568,248.8252,205.6028,223.40864,223.76744,135.75536,107.99984,80.97128,57.8396,27.29896,6.99608,0.15704,0,0,0,0,0,0,0,0,0,0,0
15-03,0,0,0,0,0,0,0,0,0,0,0,0,0.25688,9.10208,27.10448,47.4188,126.74376,165.52016,200.33416,215.82912,216.89824,231.64232,188.10792,215.31848,213.7096,205.998,164.31688,177.74848,155.19296,136.57696,122.52448,115.6584,69.86304,48.18112,23.09528,5.5588,0.19864,0,0,0,0,0,0,0,0,0,0,0
16-03,0,0,0,0,0,0,0,0,0,0,0,0,0.67808,8.6164,26.84864,59.11568,85.94352,108.02688,141.90488,174.94152,190.6216,214.3388,202.89984,232.27256,208.77896,180.94024,196.74408,145.88392,138.68816,109.65656,90.88664,75.23048,45.14952,36.39584,15.6104,3.9364,0.17264,0,0,0,0,0,0,0,0,0,0,0
17-03,0,0,0,0,0,0,0,0,0,0,0,0,0.32864,8.20768,24.49096,42.41328,67.49392,84.91704,113.13328,128.78112,127.51544,146.54952,170.898,189.11776,202.32888,219.40984,224.5412,197.50432,171.63432,158.00304,130.6448,114.47176,93.70712,50.69168,35.18632,8.79216,0.45552,0,0,0,0,0,0,0,0,0,0,0
18-03,0,0,0,0,0,0,0,0,0,0,0,0,0.99424,11.58248,33.01584,72.40064,122.71896,153.25336,186.46888,217.23208,240.8016,255.56232,261.716,274.80752,275.75808,278.58792,266.76416,241.55872,208.06864,183.60992,154.19976,120.85736,95.26608,64.1316,26.13832,9.72192,0.76232,0,0,0,0,0,0,0,0,0,0,0
19-03,0,0,0,0,0,0,0,0,0,0,0,0,1.872,13,33.254,75.7068,124.566,165.0584,201.0788,226.3196,252.5588,256.7916,271.1592,283.7536,301.4284,294.7204,288.704,278.3768,240.6612,184.1736,142.506,134.654,100.88,83.5952,40.4976,15.8808,1.846,0,0,0,0,0,0,0,0,0,0,0
20-03,0,0,0,0,0,0,0,0,0,0,0,0,1.43208,12.56216,32.20672,77.18464,121.57808,162.74336,193.78424,221.99632,246.9064,278.32168,286.71864,276.42264,288.47104,277.48344,268.15984,274.87096,264.13608,209.26568,204.19776,156.1612,94.16472,70.91448,39.31304,12.55384,1.42064,0,0,0,0,0,0,0,0,0,0,0
