Start Date,00:00:00,00:30:00,01:00:00,01:30:00,02:00:00,02:30:00,03:00:00,03:30:00,04:00:00,04:30:00,05:00:00,05:30:00,06:00:00,06:30:00,07:00:00,07:30:00,08:00:00,08:30:00,09:00:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,16:00:00,16:30:00,17:00:00,17:30:00,18:00:00,18:30:00,19:00:00,19:30:00,20:00:00,20:30:00,21:00:00,21:30:00,22:00:00,22:30:00,23:00:00,23:30:00
06-03,0,0,0,0,0,0,0,0,0,0,0,0,0,12.13422222,142.1102222,389.4782222,814.6453333,1118.431111,1506.188444,1726.618667,1953.521778,2268.552,2439.164444,2456.471111,2359.778667,2500.109333,2396.171556,1980.039111,1457.485333,1838.134222,1564.503111,952.9226667,514.3111111,379.2506667,160.0231111,15.60533333,0,0,0,0,0,0,0,0,0,0,0,0
07-03,0,0,0,0,0,0,0,0,0,0,0,0,0,11,115.192,320.76,590.128,899.272,1169.168,1426.48,1805.98,2175.008,2350.04,2233.176,2414.764,2008.336,1563.012,1747.416,1446.588,1275.912,1125.212,827.772,601.964,442.068,212.696,33.792,0,0,0,0,0,0,0,0,0,0,0,0
08-03,0,0,0,0,0,0,0,0,0,0,0,0,0,24.156,159.28,383.152,711.92,1185.668,1442.276,1631.828,1755.512,1986.952,2037.068,2103.772,2147.816,2206.424,2508.044,2234.892,2033.064,1760.308,1378.256,970.816,702.944,366.828,170.544,22.704,0,0,0,0,0,0,0,0,0,0,0,0
09-03,0,0,0,0,0,0,0,0,0,0,0,0,0,22.484,172.084,424.204,833.228,1211.144,1683.924,1988.448,2050.092,2467.124,2625.304,2541.704,2342.296,1966.14,1910.656,1505.504,1352.208,1346.62,1303.192,892.232,541.332,268.004,132.484,17.556,0,0,0,0,0,0,0,0,0,0,0,0
10-03,0,0,0,0,0,0,0,0,0,0,0,0,0,18.48,124.124,305.316,393.668,623.7,1036.86,1211.012,1306.184,1326.996,1113.288,1258.532,1115.796,1270.808,1662.98,1507.22,1144.616,858.792,745.184,570.9,295.856,159.764,89.892,12.452,0.132,0,0,0,0,0,0,0,0,0,0,0
11-03,0,0,0,0,0,0,0,0,0,0,0,0,0,29.568,256.344,423.588,621.324,1155.484,1593.152,1811.964,1705.044,1692.592,1903.924,1800.392,1819.532,1738.924,1547.568,1346.048,1519.628,1026.3,770.352,691.02,367.576,283.272,117.128,19.492,0.088,0,0,0,0,0,0,0,0,0,0,0
12-03,0,0,0,0,0,0,0,0,0,0,0,0,0.097777778,38.456,171.5902222,387.7866667,592.4355556,904.8062222,1140.734222,1318.406222,1532.549333,1824.582222,1870.303111,1861.522667,1850.112,1971.464,1947.205333,2041.111111,2122.902222,1464.085333,1343.740444,1338.744,851.7813333,332.5128889,172.5777778,31.43555556,0.723555556,0,0,0,0,0,0,0,0,0,0,0
13-03,0,0,0,0,0,0,0,0,0,0,0,0,0.264,49.31911111,211.3075556,360.8,677.4631111,1031.760889,1221.723556,1301.647111,1569.392,1529.616,1843.717333,2124.535111,1799.306667,1774.187556,1861.092444,1215.690667,1515.056889,1833.108444,939.7324444,734.4088889,737.4888889,516.4133333,262.7875556,60.632,0.899555556,0,0,0,0,0,0,0,0,0,0,0
14-03,0,0,0,0,0,0,0,0,0,0,0,0,0.840888889,68.03377778,291.6906667,606.8577778,1170.409778,1363.442667,1518.977778,1773.737778,2112.127111,2103.688889,1977.223111,2303.693333,2297.122667,2237.566222,2339.382222,1933.017778,2100.423111,2103.796444,1276.332444,1015.383111,761.2684444,543.7911111,256.6568889,65.77511111,1.476444444,0,0,0,0,0,0,0,0,0,0,0
15-03,0,0,0,0,0,0,0,0,0,0,0,0,2.415111111,85.57511111,254.8284444,445.8177778,1191.608,1556.172444,1883.483556,2029.162667,2039.214222,2177.833778,1768.536,2024.361778,2009.235556,1936.733333,1544.859556,1671.139556,1459.079111,1284.056889,1151.939556,1087.386667,656.832,452.9848889,217.1351111,52.26222222,1.867555556,0,0,0,0,0,0,0,0,0,0,0
16-03,0,0,0,0,0,0,0,0,0,0,0,0,6.375111111,81.00888889,252.4231111,555.7884444,808.016,1015.637333,1334.148444,1644.749333,1792.168889,2015.151111,1907.605333,2183.759111,1962.879111,1701.147556,1849.730667,1371.558222,1303.905778,1030.959111,854.4897778,707.2951111,424.4826667,342.1831111,146.7644444,37.00888889,1.623111111,0,0,0,0,0,0,0,0,0,0,0
17-03,0,0,0,0,0,0,0,0,0,0,0,0,3.089777778,77.16622222,230.2568889,398.7573333,634.5582222,798.3653333,1063.646222,1210.762667,1198.863111,1377.816,1606.733333,1778.030222,1902.237333,2062.827556,2111.071111,1856.878222,1613.656,1485.498667,1228.284444,1076.230222,881.0071111,476.5884444,330.8115556,82.66133333,4.282666667,0,0,0,0,0,0,0,0,0,0,0
18-03,0,0,0,0,0,0,0,0,0,0,0,0,9.347555556,108.8951111,310.4053333,680.6897778,1153.768,1440.843556,1753.126222,2042.352889,2263.946667,2402.722667,2460.577778,2583.660444,2592.597333,2619.202667,2508.039111,2271.064889,1956.200889,1726.247111,1449.741333,1136.265778,895.664,602.9466667,245.7448889,91.40266667,7.167111111,0,0,0,0,0,0,0,0,0,0,0
